设备编号,流水日期,取款存款轧差
20020044,2019/7/26,23200
20020044,2019/7/27,-6700
20020044,2019/7/28,-8300
20020044,2019/7/29,-8900
20020044,2019/7/30,-16400
20020044,2019/7/31,26000
20020044,2019/8/1,-18900
20020044,2019/8/2,44400
20020044,2019/8/3,7500
20020044,2019/8/4,-987
20020044,2019/8/5,-31500
20020044,2019/8/6,13600
20020044,2019/8/7,-58600
20020044,2019/8/8,18900
20020044,2019/8/9,24900
20020044,2019/8/10,-2400
20020044,2019/8/11,7200
20020044,2019/8/12,18800
20020044,2019/8/13,5900
20020044,2019/8/14,30500
20020044,2019/8/15,8800
20020044,2019/8/16,23700
20020044,2019/8/17,4863
20020044,2019/8/18,4637
20020044,2019/8/19,13600
20020044,2019/8/20,30900
20020044,2019/8/21,2400
20020044,2019/8/22,-3100
20020044,2019/8/23,13800
20020044,2019/8/24,7800
20020044,2019/8/25,6500
20020044,2019/8/26,28000
20020044,2019/8/27,-26700
20020044,2019/8/28,-12100
20020044,2019/8/29,1700
20020044,2019/8/30,25300
20020044,2019/8/31,21200
20020044,2019/9/1,20100
20020044,2019/9/2,4500
20020044,2019/9/3,-22500
20020044,2019/9/4,22300
20020044,2019/9/5,7600
20020044,2019/9/6,14800
20020044,2019/9/7,-900
20020044,2019/9/8,-8150
20020044,2019/9/9,-5700
20020044,2019/9/10,22400
20020044,2019/9/11,60400
20020044,2019/9/12,58900
20020044,2019/9/13,-19900
20020044,2019/9/14,-15300
20020044,2019/9/15,4000
20020044,2019/9/16,18900
20020044,2019/9/17,-15300
20020044,2019/9/18,4000
20020044,2019/9/19,-27800
20020044,2019/9/20,12700
20020044,2019/9/21,1400
20020044,2019/9/22,-3600
20020044,2019/9/23,18200
20020044,2019/9/24,31600
20020044,2019/9/25,102200
20020044,2019/9/26,24100
20020044,2019/9/27,33000
20020044,2019/9/28,-1550
20020044,2019/9/29,103400
20020044,2019/9/30,69700
20020044,2019/10/1,-24200
20020044,2019/10/2,13800
20020044,2019/10/3,9300
20020044,2019/10/4,18300
20020044,2019/10/5,1400
20020044,2019/10/6,-700
20020044,2019/10/7,2700
20020044,2019/10/8,-36800
20020044,2019/10/9,-9900
20020044,2019/10/10,44000
20020044,2019/10/11,58400
20020044,2019/10/12,40100
20020044,2019/10/13,1800
20020044,2019/10/14,-23300
20020044,2019/10/15,-5900
20020044,2019/10/16,-18400
20020044,2019/10/17,9300
20020044,2019/10/18,19600
20020044,2019/10/19,-7800
20020044,2019/10/20,12100
20020044,2019/10/21,-13900
20020044,2019/10/22,23700
20020044,2019/10/23,16900
20020044,2019/10/24,-4100
20020044,2019/10/25,19800
20020044,2019/10/26,4700
20020044,2019/10/27,6300
20020044,2019/10/28,48700
20020044,2019/10/29,20600
20020044,2019/10/30,-3900
20020044,2019/10/31,700
20020044,2019/11/1,33800
20020044,2019/11/2,-9400
20020044,2019/11/3,1500
20020044,2019/11/4,10600
20020044,2019/11/5,34600
20020044,2019/11/6,12800
20020044,2019/11/7,21800
20020044,2019/11/8,39200
20020044,2019/11/9,10617
